Source,Target
MYC,TERT
JUN,JUN
JUNB,JUN
SMAD3,JUN
ZBTB16,CCNA2
RUNX1,IL3
RUNX1,RHD
FOXA2,GCG
NFATC2,GCG
JUN,ESR1
JUNB,ESR1
JUN,MAPK8
CEBPG,IVL
JUN,IL6
JUNB,IL6
IRF3,IFNA1
NFKB1,BCL2
NFKB1,BCL2A1
NFKB1,SLC31A1
NFKB1,TNF
NFKB1,CCL13
JUN,TIMP1
JUNB,TIMP1
ARNT,CYP1B1
NFYA,VLDLR
CEBPG,VLDLR
JUN,CCND1
GATA4,INHA
GATA4,GATA4
GATA4,GATA6
GATA6,GATA4
NFATC2,IL4
JUNB,MAPK8
JUN,CDKN1A
JUN,TP53
PPARG,SERPINE2
PPARG,SERPINE1
NFKB1,IRAK1
NFKB1,IRAK2
NFKB1,TRAF2
CUX1,CFTR
GATA4,NPPA
JUN,CCL5
JUNB,CCL5
NFKB1,CCL5
NFKB1,CD40
NFKB1,IFNG
TEAD1,TGFA
PPARA,NR1D1
NR3C1,IRS2
NRG1,UTRN
NRG1,CHRNE
TBP,GTF2A1
GTF2A1,TBP
JUN,NOS2
JUNB,NOS2
NFKB1,NOS2
JUN,CXCL8
JUNB,CXCL8
NFKB1,CXCL8
RUNX1,KRAS
MYC,EPO
NFKB1,CCND1
TBP,BTAF1
TBP,DNAH8
MYC,ENO1
JDP2,LGALS1
JUN,DCTN1
HMGA1,NOS2
RUNX2,BGLAP
HMGA1,SELE
NFKB1,SELE
NFKB1,FASLG
JUN,CTLA4
JUNB,CTLA4
SMAD3,SERPINE1
IRF8,STAT1
IRF8,IFNG
NFKB1,ICAM1
JUN,TFF3
JUNB,TFF3
PPARG,LPL
NFKB1,GFAP
RUNX1,FOS
NEUROD1,AK1
NFKB1,VCAM1
NFKB1,BIRC3
NFKB1,IL6
POU1F1,POU1F1
POU1F1,PRL
POU1F1,PREB
POU1F1,PRKACA
TBP,PTGS2
TBP,RB1
CEBPG,NOS2
NFKB1,CSF1
IRF3,IFNL3
