,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"1647",1647,1380,-0.166817309955617,-0.00172113632573,-0.211774965582778,0.475043083377355,1.03259769499624,1.44751885900848,0.583815239165207,-0.166092042488789,-0.208261785807396,0.430031914690144,5.68023733618901,108.140385551099,1.07E-19,1.45E-15
,"6421",6421,5832,-0.009104598164559,-0.092068280872365,-0.04214593329095,0.054537685423286,0.065674677752547,0.140995320722709,0.853115753010492,1.03338930622148,0.415463486442341,-0.040699528419486,8.48035069981455,77.3507025973636,9.85E-18,5.22E-14
,"51129",51129,1959,-0.016002261322851,-0.215243563513988,-0.21153452321685,-0.251449384191056,0.084937354647525,2.12594508656121,3.51187749771551,1.68207850656628,0.457409716359802,-0.829316222846956,2.27279922295998,76.4539015731178,1.15E-17,5.22E-14
,"10137",10137,6702,0.238451127120657,0.155662797743034,0.104349654264043,0.450724461233893,0.378541648760611,0.750034856457715,1.18637630447603,0.531782475346147,-0.34956101559892,-0.628265090635493,6.97523317333871,71.6394478906793,2.75E-17,9.35E-14
,"1545",1545,5154,-0.071181378535702,-0.180905526373401,-0.216653412218922,-0.218452600935341,0.525819085577091,1.21149661759499,2.49800427212381,0.877129293030463,0.343902702076162,0.904934947638178,3.0518489683256,65.9571061012947,8.30E-17,2.25E-13
,"10628",10628,2957,-0.45781680832201,-0.456991103338658,-0.358868215534037,-0.580188083505972,-0.44734331853482,-0.264726281729049,0.736052882824447,0.529127129079779,0.059659986973756,1.01516603882573,7.3063378583495,61.0805600210229,2.30E-16,5.21E-13
,"4092",4092,3444,-0.036774408360553,0.02759120008986,0.135555438203469,0.188732937934313,0.859194043128572,2.81439509939394,1.40715834522274,0.452987640147509,0.128302455473782,0.216647225759863,2.27126470012232,60.2830995876586,2.74E-16,5.32E-13
,"55915",55915,4494,0.114246392221435,0.175071323208862,0.26009134448091,0.238806427020986,0.159258877896879,0.5564659712481,1.08848789729568,0.867458250463138,0.313209773039687,-0.133063792859984,5.01505080600757,59.2191317105028,3.47E-16,5.89E-13
,"3589",3589,2378,0.105534438316778,0.280794610515599,0.004895673099448,0.499803564812007,0.067865657129885,-0.086243176569172,-1.48696271479073,-1.71073060529621,-1.30609059104129,-0.01112143392737,6.5259835357721,58.1691807921403,4.40E-16,6.64E-13
,"6431",6431,4015,0.20860107432412,0.177853004976702,0.241952116752406,0.930471821117852,0.604970344861895,1.15135331545437,1.29210490846909,0.530379535758987,0.010066274871768,-0.664938112097629,8.35773255927614,57.1610936317303,5.54E-16,7.53E-13
